State,Critical Reading,Mathematics,Writing
Alabama,545,538,533
Alaska,509,503,482
Arizona,523,527,502
Arkansas,568,569,551
California,495,506,491
Colorado,582,587,567
Connecticut,504,506,504
Delaware,462,461,445
District of Columbia,441,440,432
Florida,486,480,468
Georgia,490,485,475
Hawaii,487,508,477
Idaho,467,463,442
Illinois,599,616,587
Indiana,496,499,478
Iowa,589,600,566
Kansas,588,592,568
Kentucky,588,587,574
Louisiana,563,559,553
Maine,468,473,451
Maryland,491,493,478
Massachusetts,516,529,507
Michigan,594,609,585
Minnesota,595,607,576
Mississippi,580,563,570
Missouri,596,599,582
Montana,561,556,538
Nebraska,589,590,576
Nevada,494,494,470
New Hampshire,525,530,511
New Jersey,500,521,499
New Mexico,551,544,528
New York,489,502,478
North Carolina,498,504,476
North Dakota,597,608,586
Ohio,557,563,537
Oklahoma,576,569,548
Oregon,523,521,502
Pennsylvania,499,504,482
Puerto Rico,463,450,450
Rhode Island,494,494,484
South Carolina,488,487,467
South Dakota,592,597,564
Tennessee,581,574,568
Texas,470,486,454
Utah,579,575,554
Vermont,523,524,507
Virginia,518,516,499
Virgin Islands,414,388,412
Washington,502,510,484
West Virginia,509,497,495
Wisconsin,591,605,575
Wyoming,589,586,562
